,Neighbourhood,Early Development Instrument (EDI),Healthy Food Index,Social Housing Units,Reference Period
0,Agincourt North,12.33,38.09,247.0,2014.0
1,Agincourt South-Malvern West,17.82,35.26,250.0,2014.0
2,Alderwood,12.61,11.41,77.0,2014.0
3,Annex,5.05,38.85,1436.0,2014.0
4,Banbury-Don Mills,8.97,21.31,304.0,2014.0
5,Bathurst Manor,14.04,18.8,301.0,2014.0
6,Bay Street Corridor,19.44,24.83,754.0,2014.0
7,Bayview Village,13.45,32.12,131.0,2014.0
8,Bayview Woods-Steeles,24.42,35.61,174.0,2014.0
9,Bedford Park-Nortown,9.76,47.74,236.0,2014.0
10,Beechborough-Greenbrook,19.12,25.57,824.0,2014.0
11,Bendale,16.59,29.12,504.0,2014.0
12,Birchcliffe-Cliffside,13.57,32.74,370.0,2014.0
13,Black Creek,19.26,41.84,1564.0,2014.0
14,Blake-Jones,17.98,39.98,751.0,2014.0
15,Briar Hill-Belgravia,11.3,34.23,316.0,2014.0
16,Bridle Path-Sunnybrook-York Mills,17.39,22.26,43.0,2014.0
17,Broadview North,22.22,31.36,154.0,2014.0
18,Brookhaven-Amesbury,13.62,43.1,849.0,2014.0
19,Cabbagetown-South St.James Town,13.33,43.71,860.0,2014.0
20,Caledonia-Fairbank,11.71,53.48,7.0,2014.0
21,Casa Loma,8.7,32.33,97.0,2014.0
22,Centennial Scarborough,10.38,9.35,126.0,2014.0
23,Church-Yonge Corridor,11.32,33.5,3324.0,2014.0
24,Clairlea-Birchmount,10.9,30.8,422.0,2014.0
25,Clanton Park,9.73,19.35,569.0,2014.0
26,Cliffcrest,18.25,25.55,510.0,2014.0
27,Corso Italia-Davenport,14.78,37.94,59.0,2014.0
28,Danforth,7.14,32.16,356.0,2014.0
29,Danforth-East York,11.59,24.56,423.0,2014.0
30,Don Valley Village,14.96,37.87,111.0,2014.0
31,Dorset Park,16.81,32.27,468.0,2014.0
32,Dovercourt-Wallace Emerson-Juncti,19.3,35.06,1132.0,2014.0
33,Downsview-Roding-CFB,15.54,23.72,571.0,2014.0
34,Dufferin Grove,18.52,40.07,166.0,2014.0
35,East End-Danforth,13.57,35.29,1016.0,2014.0
36,Edenbridge-Humber Valley,7.02,46.41,0.0,2014.0
37,Eglinton East,20.31,34.79,885.0,2014.0
38,Elms-Old Rexdale,9.78,24.71,358.0,2014.0
39,Englemount-Lawrence,24.65,43.98,2104.0,2014.0
40,Eringate-Centennial-West Deane,10.96,10.43,0.0,2014.0
41,Etobicoke West Mall,19.05,15.41,200.0,2014.0
42,Flemingdon Park,22.83,21.66,748.0,2014.0
43,Forest Hill North,11.11,29.11,311.0,2014.0
44,Forest Hill South,13.04,18.49,174.0,2014.0
45,Glenfield-Jane Heights,20.8,41.05,1511.0,2014.0
46,Greenwood-Coxwell,5.88,44.29,830.0,2014.0
47,Guildwood,10.71,15.57,48.0,2014.0
48,Henry Farm,8.7,20.8,232.0,2014.0
49,High Park North,7.1,40.24,788.0,2014.0
50,High Park-Swansea,5.91,46.53,300.0,2014.0
51,Highland Creek,14.81,0.63,0.0,2014.0
52,Hillcrest Village,18.05,48.46,1027.0,2014.0
53,Humber Heights-Westmount,9.72,32.82,688.0,2014.0
54,Humber Summit,9.77,32.33,133.0,2014.0
55,Humbermede,15.08,20.52,223.0,2014.0
56,Humewood-Cedarvale,12.24,32.85,480.0,2014.0
57,Ionview,8.72,47.14,348.0,2014.0
58,Islington-City Centre West,14.24,31.01,1240.0,2014.0
59,Junction Area,7.63,44.09,84.0,2014.0
60,Keelesdale-Eglinton West,19.63,34.48,351.0,2014.0
61,Kennedy Park,7.84,34.96,1360.0,2014.0
62,Kensington-Chinatown,25.93,37.57,2064.0,2014.0
63,Kingsview Village-The Westway,15.64,35.69,553.0,2014.0
64,Kingsway South,4.82,43.15,0.0,2014.0
65,Lambton Baby Point,14.15,27.28,668.0,2014.0
66,L'Amoreaux,12.07,30.73,1776.0,2014.0
67,Lansing-Westgate,11.2,19.11,0.0,2014.0
68,Lawrence Park North,7.57,52.03,113.0,2014.0
69,Lawrence Park South,6.15,37.53,113.0,2014.0
70,Leaside-Bennington,13.3,40.94,0.0,2014.0
71,Little Portugal,10.87,37.58,529.0,2014.0
72,Long Branch,9.21,28.08,106.0,2014.0
73,Malvern,11.06,38.63,1014.0,2014.0
74,Maple Leaf,9.0,14.42,175.0,2014.0
75,Markland Wood,8.11,7.99,0.0,2014.0
76,Milliken,11.42,25.25,156.0,2014.0
77,Mimico,13.85,21.59,879.0,2014.0
78,Morningside,11.35,6.67,523.0,2014.0
79,Moss Park,19.18,42.76,3399.0,2014.0
80,Mount Dennis,21.15,29.91,1145.0,2014.0
81,Mount Olive-Silverstone-Jamestown,19.53,37.57,1288.0,2014.0
82,Mount Pleasant East,10.23,50.4,291.0,2014.0
83,Mount Pleasant West,10.16,41.6,1383.0,2014.0
84,New Toronto,10.42,24.84,1010.0,2014.0
85,Newtonbrook East,12.87,29.12,0.0,2014.0
86,Newtonbrook West,15.15,26.14,380.0,2014.0
87,Niagara,13.58,34.94,939.0,2014.0
88,North Riverdale,12.9,47.17,98.0,2014.0
89,North St.James Town,16.15,34.03,1704.0,2014.0
90,Oakridge,11.98,35.43,1486.0,2014.0
91,Oakwood Village,15.05,41.07,825.0,2014.0
92,O'Connor-Parkview,9.76,37.63,528.0,2014.0
93,Old East York,9.47,24.76,182.0,2014.0
94,Palmerston-Little Italy,10.99,45.81,169.0,2014.0
95,Parkwoods-Donalda,15.81,33.6,805.0,2014.0
96,Pelmo Park-Humberlea,14.0,21.71,359.0,2014.0
97,Playter Estates-Danforth,3.08,42.51,194.0,2014.0
98,Pleasant View,9.92,22.56,0.0,2014.0
99,Princess-Rosethorn,4.65,39.52,0.0,2014.0
100,Regent Park,10.84,42.52,2120.0,2014.0
101,Rexdale-Kipling,7.89,23.31,308.0,2014.0
102,Rockcliffe-Smythe,15.85,31.87,1092.0,2014.0
103,Roncesvalles,6.04,44.85,511.0,2014.0
