,Male Mean Age,Male Median Age,Female Mean Age,Female Median Age,Income Decile Mean,Income Decile Median,  Canadian citizens,  Not Canadian citizens,  Non-immigrants,  Immigrants,  Non-permanent residents,  First generation,  Second generation,      Certificate of Apprenticeship or Certificate of Qualification,      Certificate of Apprenticeship or Certificate of Qualification,"    College, CEGEP or other non-university certificate or diploma","    College, CEGEP or other non-university certificate or diploma",    University certificate or diploma below bachelor level,    University certificate or diploma below bachelor level,"    University certificate, diploma or degree at bachelor level or above","    University certificate, diploma or degree at bachelor level or above"
Agincourt North,42.0,42.0,44.4,47.0,4.5,4.0,23550.0,5270.0,7895.0,19995.0,930.0,21040.0,6705.0,375.0,215.0,3540.0,2550.0,775.0,570.0,5805.0,4240.0
Agincourt South-Malvern West,40.2,37.0,42.3,42.0,4.5,4.0,19015.0,4465.0,7190.0,15095.0,1175.0,16430.0,5705.0,325.0,175.0,3150.0,2340.0,655.0,485.0,5765.0,4615.0
Alderwood,41.2,42.0,42.9,42.0,6.2,7.0,11425.0,600.0,7975.0,3970.0,85.0,4105.0,3630.0,345.0,230.0,2095.0,1735.0,230.0,195.0,2290.0,1980.0
Annex,41.8,37.0,43.2,37.0,6.1,7.0,25550.0,3085.0,19030.0,8270.0,1350.0,10045.0,7925.0,265.0,185.0,2700.0,2005.0,615.0,385.0,16590.0,12640.0
Banbury-Don Mills,43.7,47.0,47.9,47.0,6.3,7.0,24105.0,2900.0,13310.0,13195.0,485.0,13840.0,7640.0,345.0,170.0,3490.0,2420.0,795.0,560.0,10850.0,8060.0
Bathurst Manor,40.0,37.0,44.0,42.0,5.4,5.0,13175.0,2410.0,7135.0,8020.0,430.0,8505.0,4510.0,255.0,180.0,2125.0,1625.0,485.0,355.0,4980.0,4030.0
Bay Street Corridor,34.5,32.0,35.0,27.0,4.6,4.0,17185.0,8425.0,9995.0,10455.0,5145.0,15910.0,5365.0,100.0,55.0,1595.0,1085.0,545.0,300.0,15090.0,11660.0
Bayview Village,39.8,37.0,42.5,42.0,5.4,5.0,16205.0,4920.0,7220.0,12625.0,1285.0,13965.0,4660.0,145.0,100.0,2905.0,2120.0,700.0,490.0,9790.0,7910.0
Bayview Woods-Steeles,44.8,47.0,48.8,52.0,5.6,6.0,10570.0,2090.0,4735.0,7535.0,390.0,7975.0,3145.0,155.0,60.0,1595.0,995.0,355.0,230.0,5120.0,3640.0
Bedford Park-Nortown,38.4,37.0,41.3,42.0,7.4,9.0,20860.0,2245.0,15885.0,6805.0,425.0,7610.0,6985.0,215.0,120.0,2135.0,1425.0,465.0,295.0,9625.0,7350.0
Beechborough-Greenbrook,38.8,37.0,39.9,37.0,4.1,3.5,5395.0,975.0,2685.0,3425.0,260.0,3700.0,1990.0,280.0,225.0,890.0,735.0,160.0,140.0,610.0,505.0
Bendale,39.0,37.0,41.4,42.0,4.6,4.0,24120.0,4985.0,11675.0,15865.0,1555.0,17570.0,7450.0,425.0,230.0,4255.0,3230.0,695.0,460.0,6295.0,5065.0
Birchcliffe-Cliffside,41.6,42.0,43.6,47.0,5.9,6.0,20350.0,1335.0,15430.0,6080.0,190.0,6370.0,5885.0,470.0,330.0,3610.0,2805.0,485.0,390.0,5170.0,4295.0
Black Creek,35.3,32.0,37.6,37.0,3.5,3.0,17520.0,4030.0,8175.0,12705.0,675.0,13485.0,6760.0,545.0,375.0,2360.0,1920.0,340.0,270.0,1565.0,1300.0
Blake-Jones,36.8,37.0,38.9,37.0,5.3,5.0,7215.0,470.0,5175.0,2420.0,90.0,2565.0,2335.0,135.0,95.0,920.0,740.0,125.0,100.0,2435.0,2190.0
Briar Hill-Belgravia,39.0,37.0,42.4,42.0,4.8,5.0,11470.0,2735.0,5280.0,8555.0,375.0,9010.0,3515.0,270.0,220.0,2170.0,1690.0,455.0,370.0,3405.0,2990.0
Bridle Path-Sunnybrook-York Mills,41.6,47.0,43.1,47.0,8.1,10.0,8400.0,785.0,5880.0,3150.0,160.0,3440.0,2455.0,30.0,0.0,510.0,310.0,220.0,120.0,4795.0,3500.0
Broadview North,40.5,42.0,42.6,42.0,5.0,5.0,9930.0,1400.0,6240.0,4790.0,300.0,5155.0,3195.0,175.0,110.0,1705.0,1395.0,225.0,195.0,3510.0,3025.0
Brookhaven-Amesbury,36.5,37.0,38.1,37.0,4.2,4.0,14630.0,3075.0,7580.0,9725.0,390.0,10210.0,5760.0,410.0,315.0,2555.0,2030.0,410.0,300.0,1920.0,1630.0
Cabbagetown-South St. James Town,45.3,47.0,45.3,42.0,5.7,6.0,9965.0,1030.0,6965.0,3770.0,260.0,4140.0,2570.0,130.0,80.0,1600.0,1240.0,325.0,250.0,5105.0,4020.0
Caledonia-Fairbank,38.8,37.0,40.5,42.0,5.0,5.0,8100.0,1805.0,4275.0,5285.0,345.0,5675.0,3000.0,320.0,255.0,1385.0,1155.0,190.0,180.0,1160.0,1030.0
